date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3
12820,15:34:14,6,5001,5.0.14.0,1,1,mood,VAS_mood13_VAS,0,0,0,0,21,1,6167,1,How do you currently feel?,5,1,happy,5,1,sad,5
12820,15:34:14,6,5001,5.0.14.0,1,2,mood,VAS_mood14_VAS,0,0,0,0,16,1,4472,1,How do you currently feel?,1,1,amicable,1,1,antagonistic,1
12820,15:34:14,6,5001,5.0.14.0,1,3,mood,VAS_mood15_VAS,0,0,0,0,1,1,3360,1,How do you currently feel?,1,1,interested,1,1,bored,1
12820,15:34:14,6,5001,5.0.14.0,1,4,mood,VAS_mood6_VAS,0,0,0,0,40,1,3203,1,How do you currently feel?,1,1,energetic,1,1,lethargic,1
12820,15:34:14,6,5001,5.0.14.0,1,5,mood,VAS_mood12_VAS,0,0,0,0,12,1,3201,1,How do you currently feel?,1,1,proficient,1,1,incompetent,1
12820,15:34:14,6,5001,5.0.14.0,1,6,mood,VAS_mood10_VAS,0,0,0,0,26,1,2862,1,How do you currently feel?,1,1,relaxed,1,1,tense,1
12820,15:34:14,6,5001,5.0.14.0,1,7,mood,VAS_mood7_VAS,0,0,0,0,17,1,3455,1,How do you currently feel?,1,1,contented,1,1,discontented,1
12820,15:34:14,6,5001,5.0.14.0,1,8,mood,VAS_mood1_VAS,0,0,0,0,22,1,5031,1,How do you currently feel?,1,1,alert,1,1,drowsy,1
12820,15:34:14,6,5001,5.0.14.0,1,9,mood,VAS_mood2_VAS,0,0,0,0,19,1,3120,1,How do you currently feel?,1,1,calm,1,1,excited,1
12820,15:34:14,6,5001,5.0.14.0,1,10,mood,VAS_mood16_VAS,0,0,0,0,12,1,3995,1,How do you currently feel?,1,1,gregarious,1,1,withdrawn,1
12820,15:34:14,6,5001,5.0.14.0,1,11,mood,VAS_mood4_VAS,0,0,0,0,16,1,3289,1,How do you currently feel?,1,1,clear-headed,1,1,muzzy,1
12820,15:34:14,6,5001,5.0.14.0,1,12,mood,VAS_mood5_VAS,0,0,0,0,20,1,3157,1,How do you currently feel?,1,1,well-coordinated,1,1,clumsy,1
12820,15:34:14,6,5001,5.0.14.0,1,13,mood,VAS_mood8_VAS,0,0,0,0,17,1,3681,1,How do you currently feel?,1,1,tranquil,1,1,troubled,1
12820,15:34:14,6,5001,5.0.14.0,1,14,mood,VAS_mood11_VAS,0,0,0,0,17,1,3232,1,How do you currently feel?,1,1,attentive,1,1,dreamy,1
12820,15:34:14,6,5001,5.0.14.0,1,15,mood,VAS_mood9_VAS,0,0,0,0,31,1,3166,1,How do you currently feel?,1,1,quick-witted,1,1,mentally slow,1
12820,15:34:14,6,5001,5.0.14.0,1,16,mood,VAS_mood3_VAS,0,0,0,0,36,1,2871,1,How do you currently feel?,1,1,strong,1,1,feeble,1
